zat_aktif_1,zat_aktif_2,level
abemaciclib,adalimumab,major
abemaciclib,apalutamide,major
abemaciclib,baricitinib,major
abemaciclib,brentuximab vedotin,moderate
abemaciclib,brigatinib,moderate
abemaciclib,carbamazepine,major
abemaciclib,chloramphenicol,moderate
abemaciclib,ciprofloxacin,moderate
abemaciclib,cladribine,major
abemaciclib,clarithromycin,major
abemaciclib,clotrimazole,moderate
abemaciclib,clozapine,major
abemaciclib,crizotinib,moderate
abemaciclib,dasatinib,moderate
abemaciclib,deferasirox,moderate
abemaciclib,deferiprone,major
abemaciclib,dexamethasone,moderate
abemaciclib,efavirenz,moderate
abemaciclib,enzalutamide,major
abemaciclib,erythromycin,moderate
abemaciclib,etanercept,major
abemaciclib,fluconazole,moderate
abemaciclib,golimumab,major
abemaciclib,infliximab,major
abemaciclib,interferon beta-1a,moderate
abemaciclib,ketoconazole,major
abemaciclib,leflunomide,major
abemaciclib,lorlatinib,moderate
abemaciclib,metformin,moderate
abemaciclib,methotrexate,moderate
abemaciclib,netupitant,moderate
abemaciclib,oxcarbazepine,moderate
abemaciclib,palbociclib,moderate
abemaciclib,phenobarbital,major
abemaciclib,ribociclib,moderate
abemaciclib,rifampicin,major
abemaciclib,rifapentine,major
abemaciclib,ritonavir,major
abemaciclib,ustekinumab,moderate
abemaciclib,voriconazole,major
abemaciclib,zidovudine,moderate
acetylcysteine,acetylsalicylic acid,unknown
acetylcysteine,alprazolam,unknown
acetylcysteine,amoxicillin,unknown
acetylcysteine,amphotericin b,unknown
acetylcysteine,bortezomib,unknown
acetylcysteine,budesonide,unknown
acetylcysteine,calcitriol,unknown
acetylcysteine,carbamazepine,unknown
acetylcysteine,carvedilol,unknown
acetylcysteine,celecoxib,unknown
acetylcysteine,cimetidine,unknown
acetylcysteine,ciprofloxacin,unknown
acetylcysteine,cisplatin,unknown
acetylcysteine,clarithromycin,unknown
acetylcysteine,cyanocobalamin,unknown
acetylcysteine,cyclophosphamide,unknown
acetylcysteine,dexamethasone,unknown
acetylcysteine,diclofenac,unknown
acetylcysteine,digoxin,unknown
acetylcysteine,docetaxel,unknown
acetylcysteine,epinephrine,unknown
acetylcysteine,eptifibatide,unknown
acetylcysteine,erythromycin,unknown
acetylcysteine,famotidine,unknown
acetylcysteine,fenofibrate,unknown
acetylcysteine,fluconazole,unknown
acetylcysteine,fluorouracil,unknown
acetylcysteine,fluticasone,unknown
acetylcysteine,folic acid,unknown
acetylcysteine,furosemide,unknown
acetylcysteine,hydrochlorothiazide,unknown
acetylcysteine,hydrocortisone,unknown
acetylcysteine,ibuprofen,unknown
acetylcysteine,iodixanol,unknown
acetylcysteine,iopromide,unknown
acetylcysteine,irbesartan,unknown
acetylcysteine,isoniazid,unknown
acetylcysteine,isosorbide dinitrate,unknown
acetylcysteine,isosorbide mononitrate,unknown
acetylcysteine,ketoprofen,unknown
acetylcysteine,lamivudine,unknown
acetylcysteine,lansoprazole,unknown
acetylcysteine,leflunomide,unknown
acetylcysteine,lidocaine,unknown
acetylcysteine,linezolid,unknown
acetylcysteine,metformin,unknown
acetylcysteine,methotrexate,unknown
acetylcysteine,methylprednisolone,unknown
acetylcysteine,metronidazole,unknown
acetylcysteine,mupirocin,unknown
acetylcysteine,nifedipine,unknown
acetylcysteine,nystatin,unknown
acetylcysteine,ofloxacin,unknown
acetylcysteine,ondansetron,unknown
acetylcysteine,oxaliplatin,unknown
acetylcysteine,paclitaxel,unknown
acetylcysteine,piperacillin,unknown
acetylcysteine,piroxicam,unknown
acetylcysteine,potassium chloride,unknown
acetylcysteine,prednisolone,unknown
acetylcysteine,prednisone,unknown
acetylcysteine,pregabalin,unknown
acetylcysteine,promethazine,unknown
acetylcysteine,propofol,unknown
acetylcysteine,risperidone,unknown
acetylcysteine,simvastatin,unknown
acetylcysteine,sodium bicarbonate,unknown
acetylcysteine,sucralfate,unknown
acetylcysteine,sulfasalazine,unknown
acetylcysteine,tacrolimus,unknown
acetylcysteine,tobramycin,unknown
acetylcysteine,triamcinolone,unknown
acetylcysteine,valsartan,unknown
acetylcysteine,voriconazole,unknown
acetylsalicylic acid,alprazolam,unknown
acetylsalicylic acid,aminophylline,unknown
acetylsalicylic acid,amoxicillin,unknown
acetylsalicylic acid,amphotericin b,unknown
acetylsalicylic acid,apixaban,major
acetylsalicylic acid,aripiprazole,unknown
acetylsalicylic acid,bacitracin,unknown
acetylsalicylic acid,baricitinib,moderate
acetylsalicylic acid,betamethasone,moderate
acetylsalicylic acid,bortezomib,unknown
acetylsalicylic acid,budesonide,moderate
acetylsalicylic acid,caffeine,minor
acetylsalicylic acid,calcitriol,unknown
acetylsalicylic acid,calcium carbonate,moderate
acetylsalicylic acid,capecitabine,unknown
acetylsalicylic acid,carbamazepine,unknown
acetylsalicylic acid,carvedilol,minor
acetylsalicylic acid,celecoxib,moderate
acetylsalicylic acid,chloramphenicol,unknown
acetylsalicylic acid,chlordiazepoxide,unknown
acetylsalicylic acid,cimetidine,unknown
acetylsalicylic acid,ciprofloxacin,moderate
acetylsalicylic acid,cisplatin,unknown
acetylsalicylic acid,cladribine,unknown
acetylsalicylic acid,clarithromycin,unknown
acetylsalicylic acid,clotrimazole,unknown
acetylsalicylic acid,clozapine,unknown
acetylsalicylic acid,cyanocobalamin,unknown
acetylsalicylic acid,cyclophosphamide,unknown
acetylsalicylic acid,dasatinib,major
acetylsalicylic acid,deferasirox,major
acetylsalicylic acid,deoxycholic acid,moderate
acetylsalicylic acid,dexamethasone,moderate
acetylsalicylic acid,diclofenac,moderate
acetylsalicylic acid,digoxin,moderate
acetylsalicylic acid,docetaxel,unknown
acetylsalicylic acid,drospirenone,moderate
acetylsalicylic acid,dutasteride,unknown
acetylsalicylic acid,efavirenz,unknown
acetylsalicylic acid,entacapone,unknown
acetylsalicylic acid,epinephrine,unknown
acetylsalicylic acid,eplerenone,moderate
acetylsalicylic acid,eptifibatide,moderate
acetylsalicylic acid,erythromycin,unknown
acetylsalicylic acid,estazolam,unknown
acetylsalicylic acid,exemestane,unknown
acetylsalicylic acid,famotidine,unknown
acetylsalicylic acid,fenofibrate,unknown
acetylsalicylic acid,fluconazole,unknown
acetylsalicylic acid,fluorouracil,unknown
acetylsalicylic acid,fluticasone,unknown
acetylsalicylic acid,folic acid,unknown
acetylsalicylic acid,furosemide,minor
acetylsalicylic acid,gemfibrozil,unknown
acetylsalicylic acid,hydrochlorothiazide,unknown
acetylsalicylic acid,hydrocortisone,moderate
acetylsalicylic acid,ibrutinib,major
acetylsalicylic acid,ibuprofen,major
acetylsalicylic acid,insulin glargine,moderate
acetylsalicylic acid,insulin lispro,moderate
acetylsalicylic acid,iodixanol,unknown
acetylsalicylic acid,iopamidol,unknown
acetylsalicylic acid,iopromide,unknown
acetylsalicylic acid,irbesartan,moderate
acetylsalicylic acid,isoflurane,unknown
acetylsalicylic acid,isoniazid,unknown
acetylsalicylic acid,isosorbide dinitrate,unknown
acetylsalicylic acid,isosorbide mononitrate,unknown
acetylsalicylic acid,ketoconazole,unknown
acetylsalicylic acid,ketoprofen,moderate
acetylsalicylic acid,lamivudine,unknown
acetylsalicylic acid,lansoprazole,minor
acetylsalicylic acid,latanoprost,unknown
acetylsalicylic acid,leflunomide,major
acetylsalicylic acid,lenalidomide,unknown
acetylsalicylic acid,levonorgestrel,unknown
acetylsalicylic acid,lidocaine,unknown
acetylsalicylic acid,linezolid,unknown
acetylsalicylic acid,lithium carbonate,minor
acetylsalicylic acid,lovastatin,unknown
acetylsalicylic acid,magaldrate,moderate
acetylsalicylic acid,magnesium carbonate,moderate
acetylsalicylic acid,magnesium hydroxide,moderate
acetylsalicylic acid,mefenamic acid,moderate
acetylsalicylic acid,meloxicam,moderate
acetylsalicylic acid,mesalazine,unknown
acetylsalicylic acid,metformin,unknown
acetylsalicylic acid,methotrexate,major
acetylsalicylic acid,methylprednisolone,moderate
acetylsalicylic acid,metronidazole,unknown
acetylsalicylic acid,minoxidil,unknown
acetylsalicylic acid,mupirocin,unknown
acetylsalicylic acid,nifedipine,moderate
acetylsalicylic acid,nimodipine,moderate
acetylsalicylic acid,norethisterone,unknown
acetylsalicylic acid,nystatin,unknown
acetylsalicylic acid,ofloxacin,moderate
acetylsalicylic acid,ondansetron,unknown
acetylsalicylic acid,oxaliplatin,unknown
acetylsalicylic acid,oxcarbazepine,unknown
acetylsalicylic acid,paclitaxel,unknown
acetylsalicylic acid,pegaspargase,moderate
acetylsalicylic acid,piperacillin,unknown
acetylsalicylic acid,piroxicam,moderate
acetylsalicylic acid,potassium chloride,unknown
acetylsalicylic acid,prednisolone,moderate
acetylsalicylic acid,prednisone,moderate
acetylsalicylic acid,pregabalin,unknown
acetylsalicylic acid,promethazine,unknown
acetylsalicylic acid,propofol,unknown
acetylsalicylic acid,pyrazinamide,unknown
acetylsalicylic acid,ramucirumab,major
acetylsalicylic acid,rifampicin,unknown
acetylsalicylic acid,risperidone,unknown
acetylsalicylic acid,ritonavir,unknown
acetylsalicylic acid,rivaroxaban,major
acetylsalicylic acid,simvastatin,unknown
acetylsalicylic acid,sodium acetate,moderate
acetylsalicylic acid,sodium bicarbonate,moderate
acetylsalicylic acid,sodium citrate,moderate
acetylsalicylic acid,streptokinase,moderate
acetylsalicylic acid,sucralfate,unknown
acetylsalicylic acid,sulfasalazine,unknown
acetylsalicylic acid,tacrolimus,unknown
acetylsalicylic acid,tenecteplase,moderate
acetylsalicylic acid,timolol,minor
acetylsalicylic acid,tobramycin,moderate
acetylsalicylic acid,topiramate,unknown
acetylsalicylic acid,tretinoin,unknown
acetylsalicylic acid,triamcinolone,moderate
acetylsalicylic acid,trimethoprim,unknown
acetylsalicylic acid,valsartan,moderate
acetylsalicylic acid,voriconazole,unknown
acetylsalicylic acid,zanubrutinib,major
acetylsalicylic acid,zidovudine,unknown
acetylsalicylic acid,zonisamide,unknown
adalimumab,alprazolam,moderate
adalimumab,aminophylline,moderate
adalimumab,apixaban,moderate
adalimumab,baricitinib,major
adalimumab,basiliximab,major
adalimumab,betamethasone,major
adalimumab,bortezomib,major
adalimumab,brentuximab vedotin,major
adalimumab,brigatinib,major
adalimumab,budesonide,major
adalimumab,capecitabine,major
adalimumab,carbamazepine,moderate
adalimumab,chloramphenicol,moderate
adalimumab,cisplatin,major
adalimumab,cladribine,major
adalimumab,clozapine,major
adalimumab,crizotinib,moderate
adalimumab,cyclophosphamide,major
adalimumab,dasatinib,major
adalimumab,decitabine,major
adalimumab,deferiprone,major
adalimumab,dexamethasone,major
adalimumab,dienogest,moderate
adalimumab,docetaxel,major
adalimumab,drospirenone,moderate
adalimumab,etanercept,major
adalimumab,ethinylestradiol,moderate
adalimumab,etonogestrel,moderate
adalimumab,everolimus,major
adalimumab,fluorouracil,major
adalimumab,golimumab,major
adalimumab,guselkumab,major
adalimumab,hydrocortisone,major
adalimumab,ibrutinib,major
adalimumab,infliximab,major
adalimumab,isoniazid,moderate
adalimumab,ixekizumab,major
adalimumab,leflunomide,major
adalimumab,lenalidomide,major
adalimumab,levodopa,moderate
adalimumab,levonorgestrel,moderate
adalimumab,lidocaine,moderate
adalimumab,linezolid,major
adalimumab,lovastatin,moderate
adalimumab,medroxyprogesterone acetate,moderate
adalimumab,methotrexate,major
adalimumab,methylprednisolone,major
adalimumab,metronidazole,moderate
adalimumab,mycophenolate mofetil,major
adalimumab,nifedipine,moderate
adalimumab,nimodipine,moderate
adalimumab,norethisterone,moderate
adalimumab,oxaliplatin,major
adalimumab,paclitaxel,major
adalimumab,palbociclib,major
adalimumab,pegaspargase,major
adalimumab,phenobarbital,moderate
adalimumab,pomalidomide,major
adalimumab,prednisolone,major
adalimumab,prednisone,major
adalimumab,ribociclib,major
adalimumab,rituximab,major
adalimumab,rivaroxaban,moderate
adalimumab,secukinumab,major
adalimumab,selinexor,major
adalimumab,simvastatin,moderate
adalimumab,tacrolimus,major
adalimumab,triamcinolone,major
adalimumab,trifluridine,major
adalimumab,ustekinumab,major
adalimumab,vedolizumab,major
adalimumab,zanubrutinib,major
adalimumab,zidovudine,major
adalimumab,zinc sulfate,minor
alprazolam,aminophylline,minor
alprazolam,amoxicillin,unknown
alprazolam,amphotericin b,unknown
alprazolam,apalutamide,moderate
alprazolam,bacitracin,unknown
alprazolam,betamethasone,minor
alprazolam,bortezomib,unknown
alprazolam,brigatinib,moderate
alprazolam,budesonide,unknown
alprazolam,calcitriol,unknown
alprazolam,calcium carbonate,minor
alprazolam,capecitabine,unknown
alprazolam,celecoxib,unknown
alprazolam,cimetidine,moderate
alprazolam,cisplatin,unknown
alprazolam,clarithromycin,moderate
alprazolam,clotrimazole,moderate
alprazolam,crizotinib,moderate
alprazolam,cyanocobalamin,unknown
alprazolam,cyclophosphamide,unknown
alprazolam,dasatinib,moderate
alprazolam,deferasirox,moderate
alprazolam,dexamethasone,minor
alprazolam,dextromethorphan,moderate
alprazolam,diclofenac,unknown
alprazolam,docetaxel,unknown
alprazolam,enzalutamide,moderate
alprazolam,epinephrine,unknown
alprazolam,erythromycin,moderate
alprazolam,etanercept,moderate
alprazolam,ethinylestradiol,minor
alprazolam,exemestane,unknown
alprazolam,famotidine,unknown
alprazolam,fluconazole,major
alprazolam,fluorouracil,unknown
alprazolam,fluticasone,unknown
alprazolam,folic acid,unknown
alprazolam,golimumab,moderate
alprazolam,guselkumab,moderate
alprazolam,hydrocortisone,unknown
alprazolam,ibuprofen,unknown
alprazolam,infliximab,moderate
alprazolam,ixekizumab,moderate
alprazolam,ketoconazole,major
alprazolam,lansoprazole,unknown
alprazolam,leflunomide,unknown
alprazolam,lenalidomide,unknown
alprazolam,lidocaine,moderate
alprazolam,lorlatinib,moderate
alprazolam,magaldrate,minor
alprazolam,magnesium carbonate,minor
alprazolam,magnesium hydroxide,minor
alprazolam,mesalazine,unknown
alprazolam,metformin,unknown
alprazolam,methotrexate,unknown
alprazolam,methylprednisolone,minor
alprazolam,metronidazole,unknown
alprazolam,minoxidil,moderate
alprazolam,mupirocin,unknown
alprazolam,nystatin,unknown
alprazolam,ondansetron,unknown
alprazolam,oxaliplatin,unknown
alprazolam,paclitaxel,unknown
alprazolam,potassium chloride,unknown
alprazolam,prednisolone,minor
alprazolam,prednisone,minor
alprazolam,promethazine,moderate
alprazolam,ribociclib,moderate
alprazolam,secukinumab,moderate
alprazolam,simvastatin,unknown
alprazolam,sodium bicarbonate,minor
alprazolam,sodium citrate,minor
alprazolam,sucralfate,unknown
alprazolam,sulfasalazine,unknown
alprazolam,tacrolimus,moderate
alprazolam,tetracaine,moderate
alprazolam,tretinoin,unknown
alprazolam,triamcinolone,unknown
alprazolam,ustekinumab,moderate
aminophylline,amphotericin b,unknown
aminophylline,betamethasone,moderate
aminophylline,budesonide,moderate
aminophylline,carbamazepine,moderate
aminophylline,carvedilol,major
aminophylline,chlordiazepoxide,minor
aminophylline,cimetidine,moderate
aminophylline,ciprofloxacin,major
aminophylline,cisplatin,unknown
aminophylline,clarithromycin,moderate
aminophylline,deferasirox,major
aminophylline,dexamethasone,moderate
aminophylline,digoxin,unknown
aminophylline,drospirenone,moderate
aminophylline,erythromycin,moderate
aminophylline,estazolam,minor
aminophylline,etanercept,moderate
aminophylline,ethinylestradiol,moderate
aminophylline,etonogestrel,moderate
aminophylline,famotidine,moderate
aminophylline,fluconazole,moderate
aminophylline,fluticasone,unknown
aminophylline,furosemide,minor
aminophylline,golimumab,moderate
aminophylline,guselkumab,moderate
aminophylline,halothane,major
aminophylline,hydrochlorothiazide,unknown
aminophylline,hydrocortisone,moderate
aminophylline,ibuprofen,unknown
aminophylline,infliximab,moderate
aminophylline,interferon beta-1a,moderate
aminophylline,iohexol,major
aminophylline,iopamidol,major
aminophylline,isoniazid,moderate
aminophylline,isosorbide mononitrate,unknown
aminophylline,ixekizumab,moderate
aminophylline,ketoconazole,minor
aminophylline,ketoprofen,unknown
aminophylline,lansoprazole,minor
aminophylline,leflunomide,unknown
aminophylline,levonorgestrel,moderate
aminophylline,lidocaine,unknown
aminophylline,linezolid,unknown
aminophylline,lithium carbonate,moderate
aminophylline,methylprednisolone,moderate
aminophylline,metronidazole,unknown
aminophylline,mycophenolate mofetil,minor
aminophylline,nifedipine,minor
aminophylline,norethisterone,moderate
aminophylline,ofloxacin,moderate
aminophylline,phenobarbital,moderate
aminophylline,potassium chloride,unknown
aminophylline,prednisolone,moderate
aminophylline,prednisone,unknown
aminophylline,propofol,minor
aminophylline,rifampicin,moderate
aminophylline,ritonavir,moderate
aminophylline,secukinumab,moderate
aminophylline,sevoflurane,unknown
aminophylline,simvastatin,unknown
aminophylline,sodium bicarbonate,unknown
aminophylline,sucralfate,unknown
aminophylline,timolol,major
aminophylline,tobramycin,unknown
aminophylline,triamcinolone,moderate
aminophylline,ustekinumab,moderate
aminophylline,valsartan,unknown
aminophylline,vilanterol,moderate
amoxicillin,amphotericin b,unknown
amoxicillin,aripiprazole,unknown
amoxicillin,bortezomib,unknown
amoxicillin,budesonide,unknown
amoxicillin,calcitriol,unknown
amoxicillin,carbamazepine,unknown
amoxicillin,carvedilol,unknown
amoxicillin,celecoxib,unknown
amoxicillin,chloramphenicol,unknown
amoxicillin,cimetidine,unknown
amoxicillin,ciprofloxacin,unknown
amoxicillin,cisplatin,unknown
amoxicillin,clarithromycin,minor
amoxicillin,clotrimazole,unknown
amoxicillin,clozapine,unknown
amoxicillin,cyclophosphamide,unknown
amoxicillin,dexamethasone,unknown
amoxicillin,diclofenac,unknown
amoxicillin,digoxin,unknown
amoxicillin,docetaxel,unknown
amoxicillin,epinephrine,unknown
amoxicillin,erythromycin,minor
amoxicillin,ethinylestradiol,moderate
amoxicillin,famotidine,unknown
amoxicillin,fenofibrate,unknown
amoxicillin,fluconazole,unknown
amoxicillin,fluorouracil,unknown
amoxicillin,fluticasone,unknown
amoxicillin,folic acid,unknown
amoxicillin,furosemide,unknown
amoxicillin,gemfibrozil,unknown
amoxicillin,hydrochlorothiazide,unknown
amoxicillin,hydrocortisone,unknown
amoxicillin,ibuprofen,unknown
amoxicillin,irbesartan,unknown
amoxicillin,isosorbide mononitrate,unknown
amoxicillin,ketoprofen,unknown
amoxicillin,lamivudine,unknown
amoxicillin,lansoprazole,unknown
amoxicillin,leflunomide,unknown
amoxicillin,lenalidomide,unknown
amoxicillin,lidocaine,unknown
amoxicillin,linezolid,unknown
amoxicillin,lovastatin,unknown
amoxicillin,mefenamic acid,unknown
amoxicillin,meloxicam,unknown
amoxicillin,metformin,unknown
amoxicillin,methotrexate,major
amoxicillin,methylprednisolone,unknown
amoxicillin,metronidazole,unknown
amoxicillin,mycophenolate mofetil,moderate
amoxicillin,nifedipine,unknown
amoxicillin,nystatin,unknown
amoxicillin,ofloxacin,unknown
amoxicillin,ondansetron,unknown
amoxicillin,piroxicam,unknown
amoxicillin,potassium chloride,unknown
amoxicillin,prednisolone,unknown
amoxicillin,prednisone,unknown
amoxicillin,pregabalin,unknown
amoxicillin,promethazine,unknown
amoxicillin,propofol,unknown
amoxicillin,pyrazinamide,unknown
amoxicillin,risperidone,unknown
amoxicillin,ritonavir,unknown
amoxicillin,simvastatin,unknown
amoxicillin,sodium bicarbonate,unknown
amoxicillin,sucralfate,unknown
amoxicillin,tacrolimus,unknown
amoxicillin,topiramate,unknown
amoxicillin,tretinoin,unknown
amoxicillin,triamcinolone,unknown
amoxicillin,trimethoprim,unknown
amoxicillin,valsartan,unknown
amoxicillin,zidovudine,unknown
amphotericin b,betamethasone,moderate
amphotericin b,bortezomib,unknown
amphotericin b,budesonide,unknown
amphotericin b,calcitriol,unknown
amphotericin b,carbamazepine,unknown
amphotericin b,carvedilol,unknown
amphotericin b,celecoxib,unknown
amphotericin b,ciprofloxacin,unknown
amphotericin b,cisplatin,moderate
amphotericin b,clarithromycin,unknown
amphotericin b,clotrimazole,minor
amphotericin b,cyclophosphamide,moderate
amphotericin b,dasatinib,unknown
amphotericin b,deferasirox,major
amphotericin b,dexamethasone,moderate
amphotericin b,diclofenac,unknown
amphotericin b,digoxin,moderate
amphotericin b,efavirenz,unknown
amphotericin b,epinephrine,unknown
amphotericin b,erythromycin,unknown
amphotericin b,everolimus,major
amphotericin b,famotidine,unknown
amphotericin b,fluconazole,minor
amphotericin b,fluorouracil,unknown
amphotericin b,fluticasone,unknown
amphotericin b,folic acid,unknown
amphotericin b,furosemide,moderate
amphotericin b,hydrochlorothiazide,moderate
amphotericin b,hydrocortisone,moderate
amphotericin b,ibuprofen,unknown
amphotericin b,iodixanol,major
amphotericin b,iohexol,major
amphotericin b,iopamidol,major
amphotericin b,iopromide,major
amphotericin b,isoniazid,unknown
amphotericin b,isosorbide dinitrate,unknown
amphotericin b,ketoconazole,minor
amphotericin b,lamivudine,unknown
amphotericin b,lansoprazole,moderate
amphotericin b,lidocaine,unknown
amphotericin b,linezolid,unknown
amphotericin b,mesalazine,moderate
amphotericin b,methotrexate,moderate
amphotericin b,methylprednisolone,moderate
amphotericin b,metronidazole,unknown
amphotericin b,mupirocin,unknown
amphotericin b,nifedipine,unknown
amphotericin b,nystatin,unknown
amphotericin b,ofloxacin,unknown
amphotericin b,ondansetron,unknown
amphotericin b,oxaliplatin,moderate
amphotericin b,paclitaxel,unknown
amphotericin b,paliperidone,moderate
amphotericin b,piperacillin,unknown
amphotericin b,potassium chloride,unknown
amphotericin b,prednisolone,moderate
amphotericin b,prednisone,moderate
amphotericin b,promethazine,unknown
amphotericin b,propofol,unknown
amphotericin b,pyrazinamide,unknown
amphotericin b,rifampicin,unknown
amphotericin b,risperidone,moderate
amphotericin b,ritonavir,unknown
amphotericin b,simvastatin,unknown
amphotericin b,sodium bicarbonate,unknown
amphotericin b,sucralfate,unknown
amphotericin b,sulfadiazine,unknown
amphotericin b,sulfasalazine,moderate
amphotericin b,tacrolimus,major
amphotericin b,tobramycin,moderate
amphotericin b,topiramate,unknown
amphotericin b,tretinoin,unknown
amphotericin b,triamcinolone,moderate
amphotericin b,trimethoprim,unknown
amphotericin b,valsartan,unknown
amphotericin b,voriconazole,minor
amphotericin b,zidovudine,moderate
apalutamide,apixaban,major
apalutamide,aripiprazole,moderate
apalutamide,artemether,major
apalutamide,artesunate,moderate
apalutamide,axitinib,major
apalutamide,bortezomib,major
apalutamide,brentuximab vedotin,moderate
apalutamide,brexpiprazole,moderate
apalutamide,brigatinib,major
apalutamide,celecoxib,moderate
apalutamide,ciprofloxacin,moderate
apalutamide,clarithromycin,moderate
apalutamide,clozapine,major
apalutamide,crizotinib,major
apalutamide,cyclophosphamide,moderate
apalutamide,dasatinib,major
apalutamide,deferasirox,moderate
apalutamide,diclofenac,moderate
apalutamide,digoxin,moderate
apalutamide,docetaxel,moderate
apalutamide,drospirenone,moderate
apalutamide,dutasteride,moderate
apalutamide,empagliflozin,moderate
apalutamide,eplerenone,minor
apalutamide,erythromycin,moderate
apalutamide,ethinylestradiol,moderate
apalutamide,etonogestrel,moderate
apalutamide,everolimus,major
apalutamide,exemestane,moderate
apalutamide,famotidine,moderate
apalutamide,fluconazole,moderate
apalutamide,fluticasone,moderate
apalutamide,gemfibrozil,moderate
apalutamide,halothane,moderate
apalutamide,hydrocortisone,moderate
apalutamide,ibrutinib,major
apalutamide,ibuprofen,moderate
apalutamide,iohexol,major
apalutamide,iopamidol,major
apalutamide,irbesartan,moderate
apalutamide,ketoconazole,moderate
apalutamide,ketoprofen,moderate
apalutamide,lansoprazole,moderate
apalutamide,lenalidomide,moderate
apalutamide,levonorgestrel,moderate
apalutamide,lidocaine,minor
apalutamide,lithium carbonate,moderate
apalutamide,lorlatinib,major
apalutamide,lovastatin,moderate
apalutamide,magnesium hydroxide,moderate
apalutamide,medroxyprogesterone acetate,moderate
apalutamide,mefenamic acid,moderate
apalutamide,meloxicam,moderate
apalutamide,methotrexate,moderate
apalutamide,metronidazole,minor
apalutamide,netupitant,major
apalutamide,nifedipine,major
apalutamide,nimodipine,major
apalutamide,norethisterone,moderate
apalutamide,ofloxacin,moderate
apalutamide,ondansetron,moderate
apalutamide,oxaliplatin,moderate
apalutamide,oxytocin,moderate
apalutamide,paclitaxel,moderate
apalutamide,palbociclib,major
apalutamide,paliperidone,moderate
apalutamide,piroxicam,moderate
apalutamide,pomalidomide,moderate
apalutamide,prednisolone,moderate
apalutamide,promethazine,moderate
apalutamide,propofol,moderate
apalutamide,ribociclib,major
apalutamide,risperidone,moderate
apalutamide,ritonavir,major
apalutamide,rivaroxaban,major
apalutamide,sevoflurane,moderate
apalutamide,simvastatin,moderate
apalutamide,sofosbuvir,major
apalutamide,sulfamethoxazole,minor
apalutamide,sulfasalazine,moderate
apalutamide,tacrolimus,major
apalutamide,tolvaptan,major
apalutamide,topiramate,moderate
apalutamide,valsartan,moderate
apalutamide,vilanterol,moderate
apalutamide,voriconazole,moderate
apalutamide,zanubrutinib,major
apalutamide,zidovudine,moderate
apalutamide,zonisamide,moderate
apixaban,brigatinib,moderate
apixaban,carbamazepine,major
apixaban,celecoxib,moderate
apixaban,chloramphenicol,moderate
apixaban,ciprofloxacin,moderate
apixaban,clarithromycin,moderate
apixaban,clotrimazole,moderate
apixaban,crizotinib,moderate
apixaban,dasatinib,major
apixaban,deferasirox,major
apixaban,deoxycholic acid,moderate
apixaban,dexamethasone,moderate
apixaban,diclofenac,major
apixaban,efavirenz,moderate
apixaban,enzalutamide,major
apixaban,eptifibatide,major
apixaban,erythromycin,moderate
apixaban,etanercept,moderate
apixaban,fluconazole,moderate
apixaban,golimumab,moderate
apixaban,guselkumab,moderate
apixaban,ibrutinib,major
apixaban,ibuprofen,major
apixaban,infliximab,moderate
apixaban,ixekizumab,moderate
apixaban,ketoconazole,major
apixaban,ketoprofen,major
apixaban,lorlatinib,moderate
apixaban,mefenamic acid,major
apixaban,meloxicam,major
apixaban,netupitant,moderate
apixaban,nifedipine,moderate
apixaban,oxcarbazepine,moderate
apixaban,pegaspargase,moderate
apixaban,phenobarbital,major
apixaban,piroxicam,major
apixaban,ramucirumab,major
apixaban,ribociclib,moderate
apixaban,rifampicin,major
apixaban,rifapentine,major
apixaban,ritonavir,major
apixaban,rivaroxaban,major
apixaban,secukinumab,moderate
apixaban,streptokinase,major
apixaban,tacrolimus,moderate
apixaban,tenecteplase,major
apixaban,tolvaptan,moderate
apixaban,ustekinumab,moderate
apixaban,voriconazole,major
apixaban,zanubrutinib,major
aprotinin,tenecteplase,moderate
aprotinin,tretinoin,major
aripiprazole,budesonide,unknown
aripiprazole,celecoxib,moderate
aripiprazole,chloramphenicol,moderate
aripiprazole,cimetidine,moderate
aripiprazole,clarithromycin,moderate
aripiprazole,clotrimazole,moderate
aripiprazole,crizotinib,moderate
aripiprazole,cyanocobalamin,unknown
aripiprazole,dasatinib,moderate
aripiprazole,deferasirox,moderate
aripiprazole,dexamethasone,moderate
aripiprazole,dextromethorphan,moderate
aripiprazole,diclofenac,unknown
aripiprazole,empagliflozin,moderate
aripiprazole,enzalutamide,moderate
aripiprazole,epinephrine,moderate
aripiprazole,erythromycin,moderate
aripiprazole,famotidine,moderate
aripiprazole,fluconazole,moderate
aripiprazole,fluticasone,unknown
aripiprazole,folic acid,unknown
aripiprazole,hydrocortisone,unknown
aripiprazole,ibuprofen,unknown
aripiprazole,insulin glargine,moderate
aripiprazole,insulin lispro,moderate
aripiprazole,iohexol,major
aripiprazole,iopamidol,major
aripiprazole,ketoconazole,moderate
aripiprazole,lansoprazole,unknown
aripiprazole,lidocaine,unknown
aripiprazole,lixisenatide,moderate
aripiprazole,lorlatinib,moderate
aripiprazole,metformin,moderate
aripiprazole,methotrexate,unknown
aripiprazole,metronidazole,minor
aripiprazole,minoxidil,moderate
aripiprazole,nystatin,unknown
aripiprazole,ondansetron,moderate
aripiprazole,oxaliplatin,moderate
aripiprazole,oxytocin,moderate
