Nama_Obat,Zat_Aktif
HUFARIZINE,CETIRIZINE HYDROCHLORIDE
BETAMETHASONE VALERATE,BETAMETHASONE VALERATE
COLCHICINE,COLCHICINE
FRIGOUT,COLCHICINE
LOTENSI,ATENOLOL
PARACAF EXTRA,PARACETAMOL
PARACAF EXTRA,CAFFEINE
PARACAF EXTRA,IBUPROFEN
PARACAF,PARACETAMOL
PARACAF,CAFFEINE
PHI KANG YANG,GENTAMICIN SULFATE
PHI KANG YANG,BETAMETHASONE DIPROPIONATE
TRISETRON,ONDANSETRON HYDROCHLORIDE DIHYDRATE
CIPROFLOXACIN HYDROCHLORIDE,CIPROFLOXACIN HYDROCHLORIDE
DAYLAX,MACROGOL 3350
NELLCO SPECIAL OBH PE,PARACETAMOL
NELLCO SPECIAL OBH PE,CHLORPHENAMINE MALEATE
NELLCO SPECIAL OBH PE,PHENYLEPHRINE HYDROCHLORIDE
NELLCO SPECIAL OBH PE,AMMONIUM CHLORIDE
NELLCO SPECIAL OBH PE,LICORICE
DELFRIN,PARACETAMOL
DELFRIN,PSEUDOEPHEDRINE HYDROCHLORIDE
DELFRIN,GUAIFENESIN
DELFRIN,BROMHEXINE HYDROCHLORIDE
DELFRIN,CHLORPHENAMINE MALEATE
EUPHYLLIN RETARD,THEOPHYLLINE
LOPARAMIDE HCl,LOPERAMIDE HYDROCHLORIDE
PROGELIN,PARACETAMOL
PROGELIN,IBUPROFEN
ARESPIN,NOREPINEPHRINE BITARTRATE MONOHYDRATE
HEPATROL,ORNITHINE ASPARTATE
PANOREX,PARACETAMOL
ZIPIO M,PIOGLITAZONE HYDROCHLORIDE
ZIPIO M,METFORMIN
DUOCETZ,PARACETAMOL
DUOCETZ,TRAMADOL HYDROCHLORIDE
CANAGLU,CANAGLIFLOZIN
HAVRIX 1440 ADULT,HEPATITIS B SURFACE ANTIGEN (HBS AG)
IZBA,TRAVOPROST
OMECOLD PLUS,PARACETAMOL
OMECOLD PLUS,CHLORPHENAMINE MALEATE
OMECOLD PLUS,PHENYLPROPANOLAMINE HYDROCHLORIDE
OMECOLD PLUS,DEXTROMETHORPHAN HYDROBROMIDE
OMECOLD PLUS,GUAIFENESIN
LORAZEPAM,LORAZEPAM
ETARIZINE,CETIRIZINE HYDROCHLORIDE
LORHIS,LORATADINE
MUCOZINE,CARBOCISTEINE
MUCOZINE,PROMETHAZINE HYDROCHLORIDE
CETIRIZINE HYDROCHLORIDE,CETIRIZINE HYDROCHLORIDE
LORATADINE,LORATADINE
ALLOPURINOL,ALLOPURINOL
BODREXIN FLU & BATUK TIDAK BERDAHAK NC,PARACETAMOL
BODREXIN FLU & BATUK TIDAK BERDAHAK NC,PHENYLEPHRINE HYDROCHLORIDE
BODREXIN FLU & BATUK TIDAK BERDAHAK NC,NOSCAPINE
BODREXIN FLU & BATUK TIDAK BERDAHAK NC,CHLORPHENAMINE MALEATE
ISOFLURANE,ISOFLURANE
ISONEST,ISOFLURANE
PROFED DMP,TRIPROLIDINE HYDROCHLORIDE
PROFED DMP,PSEUDOEPHEDRINE HYDROCHLORIDE
PROFED DMP,DEXTROMETHORPHAN HYDROCHLORIDE
ETABROXOL,AMBROXOL HYDROCHLORIDE
PROFED,PSEUDOEPHEDRINE HYDROCHLORIDE
PROFED,TRIPROLIDINE HYDROCHLORIDE
PROFED,GUAIFENESIN
DIMETIC,DIMENHYDRINATE
VILDAGLIPTIN,VILDAGLIPTIN
TERREL,ISOFLURANE
TROZINC,ZINC SULFATE MONOHYDRATE
VATROPIL 400,PIRACETAM
GEMIBINE 200,GEMCITABINE
GEMIBINE 1000,GEMCITABINE
BONVIVA,IBANDRONIC ACID
LITRAMED,TETRACAINE
LITRAMED,LIDOCAINE
CORVASK 10,AMLODIPINE BESILATE
DESLORATADINE,DESLORATADINE
BONAIR,SALBUTAMOL SULFATE
FLUSAL 250,SALMETEROL XINAFOATE
FLUSAL 250,FLUTICASONE PROPIONAT
FLUSAL 125,SALMETEROL XINAFOATE
VOSERA,LEVODOPA
VOSERA,BENSERAZIDE
OXY 5,BENZOYL PEROXIDE
CYTOMIB,BORTEZOMIB
MEDIARE,LOPERAMIDE HYDROCHLORIDE
OMEZIN,DEXTROMETHORPHAN
OMEZIN,PROMETHAZINE
CLAVICS,CLARITHROMYCIN
HOLIMICETINE,CHLORAMPHENICOL
ROZINE,PANTOPRAZOLE SODIUM SESQUIHYDRATE
PROPOVEN 1% MCT/LCT,PROPOFOL
COMTUSI BATUK KERING,TRIPROLIDINE HCL
COMTUSI BATUK KERING,PSEUDOEPHEDRINE HCL
COMTUSI BATUK KERING,DEXTROMETHORPHAN HBR
COMTUSI BATUK BERDAHAK,TRIPROLIDINE HCL
COMTUSI BATUK BERDAHAK,PSEUDOEPHEDRINE HCL
COMTUSI BATUK BERDAHAK,GUAIFENESIN
COMTUSI PILEK DAN ALERGI,TRIPROLIDINE HCL
COMTUSI PILEK DAN ALERGI,PSEUDOEPHEDRINE HCL
NOVAXIFEN FORTE,IBUPROFEN
TRIFACHLOR,CHLORPHENAMINE MALEATE
KONIMAG FORTE,SIMETHICONE
KONIMAG FORTE,DRIED ALUMINIUM HYDROXIDE GEL
KONIMAG FORTE,MAGNESIUM TRISILICATE
FLUCONAZOLE,FLUCONAZOLE
ZIPREN,ARIPIPRAZOLE
CISFONKO,CISPLATIN
CIVELL,CIPROFLOXACIN HYDROCHLORIDE
OXCARBAZEPINE,OXCARBAZEPINE
OB COMBI ANAK BATUK PILEK,DEXTROMETHORPHAN HYDROBROMIDE
OB COMBI ANAK BATUK PILEK,PSEUDOEPHEDRINE HYDROCHLORIDE
OB COMBI ANAK BATUK PILEK,CHLORPHENAMINE MALEATE
ETALERGI,CHLORPHENAMINE MALEATE
METRONIDAZOLE,METRONIDAZOLE
COTRIMOXAZOLE FORTE,TRIMETHOPRIM
COTRIMOXAZOLE FORTE,SULFAMETHOXAZOLE
AMOXICILLIN TRIHYDRATE,AMOXICILLIN TRIHYDRATE
FANOXIM,AMOXICILLIN TRIHYDRATE
DICLOFENAC SODIUM,DICLOFENAC SODIUM
DOMPERIDONE MALEATE,DOMPERIDONE
INDOFOL,PROPOFOL
CALCITRIOL,CALCITRIOL
IBUPROFEN,IBUPROFEN
UFISCAB,PERMETHRIN
AMBROXOL HCL,AMBROXOL HCL
GENBROX,AMBROXOL HCL
QUASON,BETAMETHASONE
PIRACETAM,PIRACETAM
GENLIPID 10,ATORVASTALIN CALCIUM TRYHYDRATE
ATORVASTATIN CALCIUM TRIHYDRATE,ATORVASTALIN CALCIUM TRYHYDRATE
BISOPROLOL FUMARATE,BISOPROLOL FUMARATE
TABLET TAMBAH DARAH,ELEMENTAL IRON
TABLET TAMBAH DARAH,FOLIC ACID
ISOTIC LATIM,LATANOPROTST
ISOTIC LATIM,TIMOLOL
CARDUO,ATORVASTATIN CALCIUM TRIHYDRATE
CARDUO,AMLODIPINE BESILATE
FORLEPSI ER,VALPROIC ACID
VALDO,AMLODIPINE
VALDO,VALSARTAN
DIVALPROEX SODIUM,VALPROIC ACID
ZONEGRAN,ZONISAMIDE
RIFAMPICIN 150MG/ISONIAZID 75M,ISONIAZID
RIFAMPICIN 150MG/ISONIAZID 75M,RIFAMPICIN
CILANEM,DONPENEM MONOHYDRATE
ILEVRO,NEPAFENAC
ONBREZ BREEZHALER,INDACATEROL MALEATE
SIMULECT,BASILIXIMAB
SYNTOCINON,OXYTOCIN
TYKERB,LAPATINIB DITOSYLATE
PAGENAX,BROLUCIZUMAB
CATAFLAM,DICLOFENAC POTASSIUM
ZOMETA,ZOLEDRONIC ACID MONOHYDRATE
MIACALCIC,CALCITONIN
MIACALCIC,SALMON
VOLTAREN,DICLOFENAC SODIUM
ATECTURA BREEZHALER,MOMETASONE FUROATE
ATECTURA BREEZHALER,INDACATEROL ACETATE
GLIVEC,IMATINIB MESILATE
ENERZAIR BREEZHALER,INDACATEROL ACETATE
ENERZAIR BREEZHALER,GLYCOPYRRONIUM BROMIDE
ENERZAIR BREEZHALER,MOMETASONE FUROATE
MYFORTIC,MYCOPHENOLATE SODIUM
REBOZET,ELTROMBOPAG OLAMINE
STALEVO,ENTACAPONE
STALEVO,LEVODOPA
STALEVO,CARBIDOPA MONOHYDRATE
TASIGNA,NILOTINIB HYDROCHLORIDE MONOHYDRATE
JAKAVI,RUXOLITINIB PHOSPHATE
EXJADE,DEFERASIROX
VOTRIENT,PAZOPANIB HYDROCHLORIDE
LIORESAL,BACLOFEN
FEMARA,LETROZOLE
KRYXANA,RIBOCICLIB SUCCINATE
SANDOSTATIN LAR,OCTREOTIDE ACETATE
TEGRETOL,CARBAMAZEPINE
EXFORGE 5/80,VALSARTAN
EXFORGE 5/80,AMLODIPINE BESILATE
EXFORGE 5/160,VALSARTAN
EXFORGE 5/160,AMLODIPINE BESILATE
EXFORGE 10/160,VALSARTAN
EXFORGE 10/160,AMLODIPINE BESILATE
GALVUS,VILDAGLIPTIN
VOLTAREN SR 75,DICLOFENAC SODIUM
XOLAIR,OMALIZUMAB
ACLASTA,ZOLEDRONIC ACID MONOHYDRATE
FRAIZERON,SECUKINUMAB
UPERIO,SACUBITRIL VALSARTAN SODIUM HYDRATE
UPERIO,"SACUBITRIL 24,3 MG"
UPERIO,"VALSARTAN 25,7 MG"
UPERIO,"SACUBITRIL 48,6 MG"
UPERIO,"VALSARTAN 51,4 MG"
UPERIO,"SACUBITRIL 97,2 MG"
UPERIO,"VALSARTAN 102,8 MG"
CATAFLAM,DICLOFENAC RESINATE
UPERIO,SACUBITRIL VALSARTAN SODIUM HYDRATE 56.551 MG
UPERIO,SACUBITRIL VALSARTAN SODIUM HYDRATE 113.103 MG
UPERIO,SACUBITRIL VALSARTAN SODIUM HYDRATE 226.206 MG
DESFERAL,DEFEROXAMINE MESILATE
TRILEPTAL 300,OXCARBAZEPINE
TRILEPTAL 600,OXCARBAZEPINE
CATAFLAM D,DICLOFENAC
TEGRETOL CR,CARBAMAZEPINE
TRILEPTAL,OXCARBAZEPINE
PATIZRA,RANIBIZUMAB
SANDOSTATIN,OCTREOTIDE
CATAFLAM FAST,DICLOFENAC POTASSIUM
VOLTAREN RETARD,DICLOFENAC SODIUM
BACRELBA,ASCIMINIB HYDROCHLORIDE
CO-DIOVAN,HYDROCHLOROTHIAZIDE
CO-DIOVAN,VALSARTAN
DIOVAN,VALSARTAN
ULTIBRO BREEZHALER,INDACATEROL MALEATE
ULTIBRO BREEZHALER,GLYCOPYRRONIUM BROMIDE
CERTICAN,EVEROLIMUS
SYBRAVA,INCLISIRAN SODIUM
SANDIMMUN NEORAL,CICLOSPORIN
GALVUSMET,VILDAGLIPTIN
